"@timestamp","@version","_id","_index","_score","_type","beat.hostname","beat.name","beat.version","host.architecture","host.containerized","host.id","host.name","host.os.codename","host.os.family","host.os.name","host.os.platform","host.os.version","input.type","log.file.path",message,offset,"prospector.type",source,tags
"Sep 28, 2020 @ 07:08:32.749",1,"-dyK03QBL2BaPbyArwg_","droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:08:26.035 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.3: PciDeviceNotFoundById: PCI device 0000:3b:01.3 not found",7928304,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:08:32.749",1,"-tyK03QBL2BaPbyArwhA","droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:08:26.172 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.5: PciDeviceNotFoundById: PCI device 0000:3b:01.5 not found",7928718,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:08:32.749",1,"-9yK03QBL2BaPbyArwhC","droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:08:26.080 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.2: PciDeviceNotFoundById: PCI device 0000:3b:01.2 not found",7928511,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:08:32.748",1,9tyK03QBL2BaPbyArwg7,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:08:25.273 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.6: PciDeviceNotFoundById: PCI device 0000:3b:01.6 not found",7927890,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:07:27.746",1,0tyJ03QBL2BaPbyAqwcH,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:07:23.839 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.5: PciDeviceNotFoundById: PCI device 0000:3b:01.5 not found",7927422,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:07:27.746",1,09yJ03QBL2BaPbyAqwcI,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:07:23.434 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.4: PciDeviceNotFoundById: PCI device 0000:3b:01.4 not found",7926801,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:07:27.746",1,1NyJ03QBL2BaPbyAqwcK,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:07:24.094 4831 INFO nova.compute.resource_tracker [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] Final resource view: name=dual-c phys_ram=128453MB used_ram=41472MB phys_disk=66967GB used_disk=200GB total_vcpus=64 used_vcpus=20 pci_stats=[]",7927629,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:07:27.746",1,1dyJ03QBL2BaPbyAqwcL,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:07:23.690 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.3: PciDeviceNotFoundById: PCI device 0000:3b:01.3 not found",7927008,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:07:27.746",1,1tyJ03QBL2BaPbyAqwcN,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:07:23.735 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.2: PciDeviceNotFoundById: PCI device 0000:3b:01.2 not found",7927215,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
"Sep 28, 2020 @ 07:07:27.745",1,0dyJ03QBL2BaPbyAqwcG,"droplet-metrics",,"_doc","dual-c","dual-c","6.8.12","x86_64",false,b3424a0f25c94085b1ad46dc2c80ed07,"dual-c",Core,redhat,"CentOS Linux",centos,"7 (Core)",log,"/var/log/nova/nova-compute.log","2020-09-28 10:07:23.077 4831 WARNING nova.pci.utils [req-fef1267e-f155-417a-b5aa-73e1fa7eb7f1 - - - - -] No net device was found for VF 0000:3b:01.6: PciDeviceNotFoundById: PCI device 0000:3b:01.6 not found",7926594,log,"/var/log/nova/nova-compute.log","[""beats_input_codec_plain_applied""]"
